account_id,account_name,industry,region,segment,source,arr,created_at,renewal_date,status
AC0001,Aurora Customer 001,Professional Services,Nordics,SMB,Paid Search,22000,2024-01-15,2027-02-08,Active
AC0002,Aurora Customer 002,Media,Nordics,SMB,Outbound,27000,2023-10-29,2027-03-15,Active
AC0003,Aurora Customer 003,E-commerce,Benelux,Mid-Market,Paid Search,68000,2023-12-20,2026-12-18,Active
AC0004,Aurora Customer 004,Education,UKI,Enterprise,Referral,90000,2025-05-23,2026-10-04,Active
AC0005,Aurora Customer 005,Education,CEE,SMB,Referral,12000,2024-12-12,2027-02-06,Active
AC0006,Aurora Customer 006,Media,UKI,Mid-Market,Referral,68000,2025-05-13,2027-01-08,Active
AC0007,Aurora Customer 007,Education,Benelux,SMB,Outbound,18000,2025-04-21,2027-03-24,Active
AC0008,Aurora Customer 008,SaaS,Nordics,Enterprise,Paid Search,136000,2024-10-22,2027-05-01,Active
AC0009,Aurora Customer 009,Media,UKI,SMB,Referral,28000,2023-10-22,2027-03-16,Active
AC0010,Aurora Customer 010,Fintech,DACH,Mid-Market,Partner,33000,2025-02-17,2027-03-19,Active
AC0011,Aurora Customer 011,Media,Southern Europe,Mid-Market,Referral,49000,2024-08-04,2026-12-27,Active
AC0012,Aurora Customer 012,Education,DACH,SMB,Referral,15000,2024-11-02,2026-10-17,Active
AC0013,Aurora Customer 013,Education,Benelux,Mid-Market,Partner,52000,2023-11-18,2026-12-07,Active
AC0014,Aurora Customer 014,Fintech,UKI,SMB,Referral,28000,2024-02-03,2027-01-14,Active
AC0015,Aurora Customer 015,Education,Benelux,Enterprise,Referral,74000,2025-02-16,2027-05-05,Active
AC0016,Aurora Customer 016,Professional Services,UKI,SMB,Paid Search,22000,2024-07-10,2027-01-27,Active
AC0017,Aurora Customer 017,Healthcare,Southern Europe,Enterprise,Paid Search,85000,2023-10-17,2027-06-23,Active
AC0018,Aurora Customer 018,SaaS,DACH,Enterprise,Inbound,154000,2024-12-21,2027-02-24,Active
AC0019,Aurora Customer 019,Media,Nordics,SMB,Outbound,24000,2025-06-06,2027-01-06,Active
AC0020,Aurora Customer 020,SaaS,Nordics,Mid-Market,Paid Search,67000,2025-07-01,2027-02-19,Active
