call_id,account_id,agent_id,department,started_at,duration_minutes,wait_minutes,recording_ref
CL00001,AC0105,A006,Support,2026-07-02 12:00:00,2,2.1,recording://CL00001
CL00002,AC0065,A024,Support,2025-12-03 19:00:00,16,3.8,recording://CL00002
CL00003,AC0150,A054,Sales,2026-01-27 17:00:00,19,3.5,recording://CL00003
CL00004,AC0016,A041,Sales,2025-12-11 08:00:00,10,0.2,recording://CL00004
CL00005,AC0067,A047,Sales,2025-11-22 17:00:00,17,0.0,recording://CL00005
CL00006,AC0047,A051,Sales,2026-06-09 12:00:00,13,0.8,recording://CL00006
CL00007,AC0086,A023,Support,2026-07-19 15:00:00,27,0.3,recording://CL00007
CL00008,AC0117,A018,Support,2026-01-28 12:00:00,34,2.1,recording://CL00008
CL00009,AC0047,A052,Sales,2026-07-29 15:00:00,12,2.3,recording://CL00009
CL00010,AC0088,A003,Support,2025-12-13 16:00:00,24,2.3,recording://CL00010
CL00011,AC0125,A042,Sales,2026-06-02 17:00:00,11,1.5,recording://CL00011
CL00012,AC0088,A049,Sales,2026-05-09 17:00:00,19,2.4,recording://CL00012
CL00013,AC0088,A017,Support,2026-01-05 19:00:00,12,2.8,recording://CL00013
CL00014,AC0041,A041,Sales,2026-04-10 15:00:00,9,0.7,recording://CL00014
CL00015,AC0088,A054,Sales,2026-07-19 18:00:00,17,1.7,recording://CL00015
CL00016,AC0024,A052,Sales,2025-10-01 17:00:00,25,1.4,recording://CL00016
CL00017,AC0018,A055,Sales,2026-04-17 10:00:00,19,0.9,recording://CL00017
CL00018,AC0047,A055,Sales,2025-10-23 14:00:00,33,1.6,recording://CL00018
CL00019,AC0100,A007,Support,2025-12-26 08:00:00,12,1.3,recording://CL00019
CL00020,AC0065,A052,Sales,2026-08-22 17:00:00,23,1.0,recording://CL00020
CL00021,AC0047,A053,Sales,2025-09-12 10:00:00,3,1.2,recording://CL00021
CL00022,AC0034,A036,Support,2026-04-29 13:00:00,11,1.0,recording://CL00022
CL00023,AC0117,A016,Support,2025-10-10 16:00:00,13,2.5,recording://CL00023
CL00024,AC0057,A005,Support,2025-09-02 09:00:00,13,3.4,recording://CL00024
CL00025,AC0130,A051,Sales,2025-11-18 10:00:00,16,2.5,recording://CL00025
CL00026,AC0085,A039,Sales,2025-10-06 08:00:00,13,0.6,recording://CL00026
CL00027,AC0086,A045,Sales,2025-09-14 11:00:00,18,4.2,recording://CL00027
CL00028,AC0096,A031,Support,2026-07-10 15:00:00,17,2.0,recording://CL00028
CL00029,AC0040,A036,Support,2025-10-31 11:00:00,5,3.4,recording://CL00029
CL00030,AC0047,A043,Sales,2025-12-08 12:00:00,12,2.0,recording://CL00030
CL00031,AC0047,A044,Sales,2026-01-11 16:00:00,14,3.4,recording://CL00031
CL00032,AC0078,A053,Sales,2026-06-18 14:00:00,15,1.7,recording://CL00032
CL00033,AC0092,A051,Sales,2026-05-12 19:00:00,11,1.2,recording://CL00033
CL00034,AC0086,A008,Support,2025-09-19 10:00:00,11,0.6,recording://CL00034
CL00035,AC0101,A045,Sales,2025-12-04 14:00:00,32,2.3,recording://CL00035
CL00036,AC0099,A049,Sales,2026-07-01 09:00:00,14,2.7,recording://CL00036
CL00037,AC0132,A046,Sales,2026-08-26 13:00:00,9,1.6,recording://CL00037
CL00038,AC0132,A041,Sales,2026-06-21 15:00:00,38,1.4,recording://CL00038
CL00039,AC0150,A042,Sales,2026-01-27 15:00:00,27,1.6,recording://CL00039
CL00040,AC0075,A030,Support,2025-10-25 14:00:00,19,1.1,recording://CL00040
CL00041,AC0085,A028,Support,2026-08-06 12:00:00,14,1.8,recording://CL00041
CL00042,AC0003,A042,Sales,2026-06-28 12:00:00,15,2.6,recording://CL00042
CL00043,AC0041,A056,Sales,2026-03-10 13:00:00,12,2.0,recording://CL00043
CL00044,AC0004,A042,Sales,2025-10-19 09:00:00,20,0.3,recording://CL00044
CL00045,AC0030,A015,Support,2026-07-08 12:00:00,21,1.3,recording://CL00045
CL00046,AC0117,A054,Sales,2025-12-31 14:00:00,12,1.9,recording://CL00046
CL00047,AC0004,A042,Sales,2026-06-15 12:00:00,16,2.5,recording://CL00047
CL00048,AC0087,A049,Sales,2026-01-30 10:00:00,23,1.6,recording://CL00048
CL00049,AC0092,A039,Sales,2026-03-17 15:00:00,14,2.7,recording://CL00049
CL00050,AC0113,A034,Support,2026-01-10 19:00:00,10,3.1,recording://CL00050
CL00051,AC0087,A053,Sales,2026-07-24 14:00:00,21,1.4,recording://CL00051
CL00052,AC0058,A044,Sales,2026-01-15 09:00:00,25,2.8,recording://CL00052
CL00053,AC0085,A043,Sales,2026-01-02 10:00:00,15,2.5,recording://CL00053
CL00054,AC0066,A032,Support,2026-08-04 08:00:00,16,2.1,recording://CL00054
CL00055,AC0102,A012,Support,2025-09-17 16:00:00,8,3.2,recording://CL00055
CL00056,AC0018,A054,Sales,2026-05-18 17:00:00,15,3.0,recording://CL00056
CL00057,AC0027,A027,Support,2026-07-26 11:00:00,11,0.1,recording://CL00057
CL00058,AC0048,A049,Sales,2026-06-08 09:00:00,22,2.1,recording://CL00058
CL00059,AC0063,A049,Sales,2025-10-12 16:00:00,26,1.4,recording://CL00059
CL00060,AC0016,A013,Support,2026-04-25 18:00:00,12,2.3,recording://CL00060
CL00061,AC0100,A050,Sales,2026-02-09 19:00:00,19,2.5,recording://CL00061
CL00062,AC0100,A054,Sales,2025-11-20 15:00:00,6,0.5,recording://CL00062
CL00063,AC0079,A055,Sales,2026-06-19 15:00:00,7,3.0,recording://CL00063
CL00064,AC0057,A044,Sales,2026-06-28 11:00:00,21,2.3,recording://CL00064
CL00065,AC0081,A044,Sales,2026-06-18 19:00:00,21,3.7,recording://CL00065
CL00066,AC0130,A042,Sales,2026-04-19 19:00:00,22,3.8,recording://CL00066
CL00067,AC0069,A056,Sales,2026-02-22 19:00:00,23,2.2,recording://CL00067
CL00068,AC0071,A046,Sales,2025-11-10 19:00:00,18,3.1,recording://CL00068
CL00069,AC0072,A053,Sales,2025-11-11 11:00:00,27,1.4,recording://CL00069
CL00070,AC0089,A006,Support,2026-01-20 19:00:00,24,1.0,recording://CL00070
CL00071,AC0057,A044,Sales,2026-05-01 14:00:00,35,1.6,recording://CL00071
CL00072,AC0039,A056,Sales,2026-01-06 08:00:00,19,2.4,recording://CL00072
CL00073,AC0141,A043,Sales,2026-04-06 13:00:00,19,1.1,recording://CL00073
CL00074,AC0024,A044,Sales,2025-12-25 17:00:00,20,0.9,recording://CL00074
CL00075,AC0108,A007,Support,2026-04-13 15:00:00,17,3.1,recording://CL00075
CL00076,AC0004,A014,Support,2026-01-10 16:00:00,12,0.0,recording://CL00076
CL00077,AC0011,A043,Sales,2026-05-15 10:00:00,19,2.7,recording://CL00077
CL00078,AC0070,A040,Sales,2026-02-07 08:00:00,20,1.1,recording://CL00078
CL00079,AC0024,A013,Support,2026-03-26 15:00:00,13,3.3,recording://CL00079
CL00080,AC0017,A053,Sales,2025-12-14 08:00:00,12,2.3,recording://CL00080
CL00081,AC0094,A043,Sales,2026-04-03 17:00:00,27,0.9,recording://CL00081
CL00082,AC0141,A044,Sales,2025-11-08 08:00:00,9,1.3,recording://CL00082
CL00083,AC0046,A053,Sales,2025-10-16 13:00:00,7,1.8,recording://CL00083
CL00084,AC0062,A056,Sales,2025-12-25 13:00:00,10,2.1,recording://CL00084
CL00085,AC0102,A033,Support,2026-03-08 17:00:00,12,2.4,recording://CL00085
CL00086,AC0057,A030,Support,2026-02-09 19:00:00,22,2.5,recording://CL00086
CL00087,AC0024,A056,Sales,2025-11-30 19:00:00,12,1.6,recording://CL00087
CL00088,AC0006,A044,Sales,2025-12-25 11:00:00,42,1.9,recording://CL00088
