table,column,dtype
teams,team_id,object
teams,team_name,object
teams,department,object
agents,agent_id,object
agents,agent_name,object
agents,role,object
agents,department,object
agents,team_id,object
agents,hire_date,object
agents,active,int64
accounts,account_id,object
accounts,account_name,object
accounts,industry,object
accounts,region,object
accounts,segment,object
accounts,source,object
accounts,arr,int64
accounts,created_at,object
accounts,renewal_date,object
accounts,status,object
product_usage,usage_id,object
product_usage,account_id,object
product_usage,week_start,object
product_usage,weekly_logins,int64
product_usage,active_users,int64
product_usage,seat_utilization,float64
product_usage,feature_adoption,float64
tickets,ticket_id,object
tickets,account_id,object
tickets,agent_id,object
tickets,created_at,object
tickets,resolved_at,object
tickets,contact_reason,object
tickets,resolution_status,object
tickets,first_response_minutes,int64
tickets,escalation_required,int64
tickets,escalation_reason,object
tickets,complaint_flag,int64
tickets,repeat_contact,int64
tickets,related_sop,object
calls,call_id,object
calls,account_id,object
calls,agent_id,object
calls,department,object
calls,started_at,object
calls,duration_minutes,int64
calls,wait_minutes,float64
calls,recording_ref,object
surveys,survey_id,object
surveys,account_id,object
surveys,survey_type,object
surveys,score,int64
surveys,comment,object
surveys,survey_date,object
surveys,linked_interaction_id,object
deals,deal_id,object
deals,account_id,object
deals,owner_agent_id,object
deals,created_at,object
deals,closed_at,object
deals,stage,object
deals,amount,int64
deals,segment,object
deals,loss_reason,object
deals,source,object
deals,handover_complete,object
deals,special_requirements_issue,object
revenue,revenue_id,object
revenue,month,object
revenue,segment,object
revenue,actual_revenue,int64
revenue,target_revenue,int64
revenue,forecast_revenue,int64
revenue,variance_to_target,int64
qa_reviews,qa_review_id,object
qa_reviews,ticket_id,object
qa_reviews,agent_id,object
qa_reviews,account_id,object
qa_reviews,review_date,object
qa_reviews,communication,float64
qa_reviews,resolution,float64
qa_reviews,accuracy,float64
qa_reviews,process_adherence,float64
qa_reviews,documentation,float64
qa_reviews,ownership,float64
qa_reviews,critical_failure,int64
qa_reviews,overall_score,float64
qa_reviews,agent_controlled,int64
trigger_rules,trigger_rule_id,object
trigger_rules,rule_name,object
trigger_rules,domain,object
trigger_rules,condition,object
trigger_rules,default_severity,object
trigger_rules,default_owner_department,object
trigger_rules,recheck_window,object
trigger_events,trigger_event_id,object
trigger_events,trigger_rule_id,object
trigger_events,account_id,object
trigger_events,quality_issue_id,object
trigger_events,severity,object
trigger_events,triggered_at,object
trigger_events,assigned_department,object
trigger_events,status,object
trigger_events,evidence_summary,object
quality_issues,quality_issue_id,object
quality_issues,account_id,object
quality_issues,source_domain,object
quality_issues,root_cause_family,object
quality_issues,severity,object
quality_issues,status,object
quality_issues,current_owner_department,object
quality_issues,collaborating_department,object
quality_issues,summary,object
quality_issues,impact_type,object
quality_issues,created_date,object
quality_issues,closed_date,object
interdepartmental_requests,request_id,object
interdepartmental_requests,quality_issue_id,object
interdepartmental_requests,from_department,object
interdepartmental_requests,to_department,object
interdepartmental_requests,request_text,object
interdepartmental_requests,priority,object
interdepartmental_requests,sent_at,object
interdepartmental_requests,response_due_at,object
interdepartmental_requests,status,object
interdepartmental_requests,response_text,object
interdepartmental_requests,responded_at,object
actions,action_id,object
actions,quality_issue_id,object
actions,owner_department,object
actions,action_text,object
actions,due_date,object
actions,status,object
actions,action_type,object
