deal_id,account_id,owner_agent_id,created_at,closed_at,stage,amount,segment,loss_reason,source,handover_complete,special_requirements_issue
DL00001,AC0022,A051,2026-05-22,2026-07-23,Closed Won,164000,Enterprise,,Inbound,False,Free-text / field quality issue
DL00002,AC0145,A046,2025-09-20,,Discovery,12000,SMB,,Outbound,,
DL00003,AC0064,A044,2025-10-04,2025-12-20,Closed Lost,9000,SMB,Timing,Partner,,
DL00004,AC0115,A052,2026-03-20,,Discovery,18000,SMB,,Outbound,,
DL00005,AC0006,A044,2025-11-24,2026-02-12,Closed Lost,18000,SMB,Procurement,Partner,,
DL00006,AC0080,A040,2026-03-03,2026-03-25,Closed Lost,95000,Enterprise,No Decision,Outbound,,
DL00007,AC0077,A052,2026-06-09,2026-07-20,Closed Won,25000,SMB,,Inbound,True,
DL00008,AC0073,A055,2026-02-23,2026-05-06,Closed Lost,32000,Mid-Market,Procurement,Referral,,
DL00009,AC0079,A047,2026-02-02,2026-04-04,Closed Lost,8000,SMB,Missing Feature,Referral,,
DL00010,AC0004,A051,2025-09-11,2025-10-30,Closed Won,69000,Enterprise,,Referral,True,
DL00011,AC0078,A050,2025-12-11,,Negotiation,180000,Enterprise,,Outbound,,
DL00012,AC0032,A045,2025-09-08,2025-10-23,Closed Lost,26000,Mid-Market,Missing Feature,Partner,,
DL00013,AC0028,A039,2025-10-29,2026-01-11,Closed Won,32000,Mid-Market,,Paid Search,True,
DL00014,AC0044,A048,2026-02-14,,Discovery,85000,Enterprise,,Referral,,
DL00015,AC0099,A051,2025-10-26,,Discovery,122000,Enterprise,,Inbound,,
DL00016,AC0029,A050,2026-05-19,2026-07-22,Closed Won,18000,SMB,,Paid Search,True,
DL00017,AC0057,A039,2025-12-02,2026-01-24,Closed Won,18000,SMB,,Outbound,True,
DL00018,AC0014,A041,2026-05-28,,Proposal,21000,SMB,,Inbound,,
DL00019,AC0023,A054,2025-11-07,2025-12-18,Closed Lost,59000,Mid-Market,Price,Inbound,,
DL00020,AC0020,A043,2025-09-22,2025-10-14,Closed Won,123000,Enterprise,,Partner,True,
DL00021,AC0034,A045,2026-04-02,,Proposal,24000,SMB,,Referral,,
DL00022,AC0060,A049,2026-06-07,2026-07-11,Closed Lost,60000,Mid-Market,Timing,Outbound,,
DL00023,AC0064,A040,2026-08-18,,Negotiation,55000,Mid-Market,,Outbound,,
DL00024,AC0141,A042,2026-04-12,,Qualified,18000,SMB,,Partner,,
DL00025,AC0075,A043,2025-10-22,2025-12-10,Closed Won,45000,Mid-Market,,Partner,True,
DL00026,AC0118,A047,2026-04-29,2026-07-03,Closed Lost,31000,Mid-Market,Missing Feature,Paid Search,,
DL00027,AC0037,A041,2026-04-29,,Proposal,64000,Mid-Market,,Partner,,
DL00028,AC0011,A048,2025-11-12,2026-01-06,Closed Lost,159000,Enterprise,Competitor,Paid Search,,
DL00029,AC0059,A054,2026-02-15,2026-05-09,Closed Lost,16000,SMB,Timing,Outbound,,
DL00030,AC0013,A045,2026-02-02,2026-03-01,Closed Lost,86000,Enterprise,Unqualified,Inbound,,
DL00031,AC0104,A048,2026-05-18,,Negotiation,16000,SMB,,Partner,,
DL00032,AC0072,A045,2026-05-05,2026-07-27,Closed Lost,169000,Enterprise,Timing,Paid Search,,
DL00033,AC0128,A049,2026-03-09,2026-05-01,Closed Lost,41000,Mid-Market,Procurement,Outbound,,
DL00034,AC0131,A049,2026-02-26,2026-03-28,Closed Won,29000,Mid-Market,,Partner,True,
DL00035,AC0049,A051,2025-12-12,2026-01-19,Closed Won,28000,Mid-Market,,Partner,True,
DL00036,AC0139,A041,2026-07-29,,Qualified,52000,Mid-Market,,Paid Search,,
DL00037,AC0098,A046,2025-11-04,,Qualified,41000,Mid-Market,,Inbound,,
DL00038,AC0037,A050,2026-07-25,2026-09-25,Closed Won,24000,SMB,,Referral,False,Free-text vague
DL00039,AC0132,A053,2026-03-09,2026-05-21,Closed Lost,21000,SMB,Price,Inbound,,
DL00040,AC0046,A046,2026-08-16,,Qualified,14000,SMB,,Paid Search,,
DL00041,AC0084,A053,2026-06-13,,Negotiation,13000,SMB,,Partner,,
DL00042,AC0022,A055,2025-12-27,2026-03-06,Closed Won,175000,Enterprise,,Partner,True,
DL00043,AC0052,A039,2026-07-14,,Proposal,18000,SMB,,Partner,,
DL00044,AC0088,A050,2026-02-19,2026-03-17,Closed Lost,17000,SMB,Price,Outbound,,
DL00045,AC0093,A048,2026-01-17,,Discovery,10000,SMB,,Inbound,,
DL00046,AC0062,A052,2026-03-21,,Negotiation,11000,SMB,,Outbound,,
DL00047,AC0107,A055,2025-12-03,2026-01-14,Closed Lost,48000,Mid-Market,No Decision,Inbound,,
DL00048,AC0008,A041,2025-09-28,2025-11-29,Closed Won,165000,Enterprise,,Inbound,True,
DL00049,AC0119,A045,2026-03-13,2026-05-14,Closed Won,22000,SMB,,Referral,True,
DL00050,AC0046,A043,2026-05-30,2026-07-11,Closed Won,53000,Mid-Market,,Referral,True,Missing structured value
DL00051,AC0030,A052,2026-06-10,2026-07-15,Closed Won,47000,Mid-Market,,Paid Search,True,
DL00052,AC0098,A056,2026-03-30,2026-06-27,Closed Lost,188000,Enterprise,No Decision,Referral,,
DL00053,AC0132,A040,2026-01-31,2026-04-13,Closed Won,41000,Mid-Market,,Partner,True,Free-text vague
DL00054,AC0108,A048,2026-03-20,,Negotiation,21000,SMB,,Partner,,
DL00055,AC0003,A049,2025-09-21,2025-11-21,Closed Won,24000,SMB,,Partner,False,Free-text / field quality issue
DL00056,AC0041,A048,2026-03-30,,Negotiation,21000,SMB,,Inbound,,
DL00057,AC0051,A056,2026-06-26,,Proposal,8000,SMB,,Referral,,
DL00058,AC0086,A051,2025-12-05,2026-01-04,Closed Won,35000,Mid-Market,,Outbound,True,
DL00059,AC0132,A041,2026-01-16,,Qualified,9000,SMB,,Outbound,,
DL00060,AC0049,A049,2026-05-31,2026-07-25,Closed Lost,25000,SMB,Missing Feature,Inbound,,
DL00061,AC0018,A051,2026-07-13,2026-08-07,Closed Lost,20000,SMB,Timing,Paid Search,,
DL00062,AC0092,A047,2025-12-15,2026-03-14,Closed Lost,25000,SMB,No Decision,Partner,,
DL00063,AC0051,A043,2025-09-09,,Qualified,93000,Enterprise,,Paid Search,,
DL00064,AC0112,A053,2025-10-27,2025-12-23,Closed Won,11000,SMB,,Outbound,True,
DL00065,AC0121,A042,2026-03-18,,Discovery,10000,SMB,,Outbound,,
DL00066,AC0106,A040,2025-12-18,,Proposal,21000,SMB,,Referral,,
DL00067,AC0003,A039,2026-06-20,,Negotiation,17000,SMB,,Outbound,,
DL00068,AC0011,A053,2025-11-30,2026-01-25,Closed Lost,61000,Mid-Market,Competitor,Partner,,
DL00069,AC0118,A054,2026-03-17,,Proposal,19000,SMB,,Referral,,
DL00070,AC0092,A042,2025-11-20,2026-01-17,Closed Won,177000,Enterprise,,Paid Search,True,
DL00071,AC0126,A048,2026-04-06,,Discovery,11000,SMB,,Referral,,
DL00072,AC0048,A043,2025-09-22,2025-11-01,Closed Won,73000,Enterprise,,Outbound,True,
DL00073,AC0098,A054,2025-10-31,,Qualified,64000,Mid-Market,,Inbound,,
DL00074,AC0082,A049,2025-12-03,2026-02-19,Closed Lost,38000,Mid-Market,Missing Feature,Partner,,
DL00075,AC0128,A050,2026-06-22,2026-08-25,Closed Won,63000,Mid-Market,,Referral,True,
DL00076,AC0089,A050,2025-12-07,,Proposal,14000,SMB,,Outbound,,
DL00077,AC0092,A053,2026-07-29,2026-10-02,Closed Won,23000,SMB,,Paid Search,True,
DL00078,AC0066,A041,2026-08-10,,Proposal,66000,Enterprise,,Paid Search,,
DL00079,AC0074,A047,2025-11-08,2026-01-02,Closed Lost,24000,SMB,Competitor,Paid Search,,
DL00080,AC0034,A044,2026-05-11,2026-07-10,Closed Lost,12000,SMB,Price,Inbound,,
DL00081,AC0146,A040,2025-11-09,,Negotiation,28000,Mid-Market,,Referral,,
DL00082,AC0121,A056,2025-11-11,2025-12-28,Closed Won,22000,SMB,,Outbound,True,
DL00083,AC0008,A039,2025-12-22,2026-03-14,Closed Lost,15000,SMB,Competitor,Partner,,
DL00084,AC0063,A052,2026-05-30,2026-08-09,Closed Won,33000,Mid-Market,,Referral,True,
DL00085,AC0033,A045,2025-12-14,,Discovery,29000,Mid-Market,,Partner,,
DL00086,AC0055,A045,2025-11-24,2025-12-21,Closed Lost,51000,Mid-Market,Competitor,Paid Search,,
DL00087,AC0029,A048,2026-04-08,,Qualified,46000,Mid-Market,,Referral,,
DL00088,AC0033,A049,2026-07-13,,Proposal,46000,Mid-Market,,Partner,,
DL00089,AC0037,A055,2026-05-22,2026-08-15,Closed Lost,167000,Enterprise,Unqualified,Referral,,
DL00090,AC0089,A053,2025-10-07,,Negotiation,155000,Enterprise,,Referral,,
DL00091,AC0138,A044,2025-11-14,,Proposal,47000,Mid-Market,,Referral,,
DL00092,AC0052,A050,2025-12-04,2025-12-23,Closed Lost,10000,SMB,Procurement,Referral,,
DL00093,AC0028,A045,2026-01-13,,Negotiation,27000,Mid-Market,,Referral,,
DL00094,AC0083,A052,2026-05-18,,Discovery,188000,Enterprise,,Paid Search,,
DL00095,AC0149,A046,2026-05-08,,Negotiation,21000,SMB,,Outbound,,
DL00096,AC0095,A053,2026-04-10,,Discovery,26000,Mid-Market,,Referral,,
DL00097,AC0010,A045,2025-12-26,2026-01-21,Closed Won,20000,SMB,,Paid Search,True,
DL00098,AC0039,A043,2026-06-17,2026-09-04,Closed Lost,45000,Mid-Market,Timing,Partner,,
DL00099,AC0065,A041,2026-02-24,,Discovery,23000,SMB,,Referral,,
DL00100,AC0068,A054,2025-12-24,2026-02-26,Closed Lost,17000,SMB,Timing,Inbound,,
DL00101,AC0101,A042,2026-06-25,,Negotiation,17000,SMB,,Referral,,
DL00102,AC0113,A046,2025-11-24,,Qualified,36000,Mid-Market,,Referral,,
DL00103,AC0118,A041,2026-05-03,,Negotiation,64000,Mid-Market,,Referral,,
DL00104,AC0137,A055,2026-05-29,2026-06-28,Closed Lost,22000,SMB,Timing,Referral,,
DL00105,AC0022,A041,2026-02-26,2026-05-06,Closed Won,158000,Enterprise,,Inbound,True,
DL00106,AC0123,A055,2026-05-03,2026-07-16,Closed Won,112000,Enterprise,,Partner,True,
DL00107,AC0084,A054,2026-08-08,,Negotiation,17000,SMB,,Partner,,
DL00108,AC0052,A046,2026-08-13,,Proposal,44000,Mid-Market,,Referral,,
DL00109,AC0045,A040,2025-12-09,2026-01-26,Closed Lost,116000,Enterprise,Missing Feature,Referral,,
DL00110,AC0144,A055,2026-06-17,2026-09-03,Closed Lost,74000,Enterprise,Timing,Partner,,
DL00111,AC0038,A039,2026-08-12,,Qualified,23000,SMB,,Paid Search,,
DL00112,AC0101,A052,2025-11-08,2026-01-13,Closed Won,46000,Mid-Market,,Referral,True,
DL00113,AC0053,A051,2026-02-24,,Negotiation,13000,SMB,,Outbound,,
