usage_id,account_id,week_start,weekly_logins,active_users,seat_utilization,feature_adoption
PU-AC0001-2025-09-01,AC0001,2025-09-01,22,7,0.661,0.742
PU-AC0001-2025-09-08,AC0001,2025-09-08,22,6,0.574,0.489
PU-AC0001-2025-09-15,AC0001,2025-09-15,22,7,0.612,0.481
PU-AC0001-2025-09-22,AC0001,2025-09-22,22,7,0.742,0.539
PU-AC0001-2025-09-29,AC0001,2025-09-29,22,8,0.758,0.74
PU-AC0001-2025-10-06,AC0001,2025-10-06,21,7,0.69,0.657
PU-AC0001-2025-10-13,AC0001,2025-10-13,23,7,0.777,0.488
PU-AC0001-2025-10-20,AC0001,2025-10-20,20,6,0.627,0.715
PU-AC0001-2025-10-27,AC0001,2025-10-27,24,6,0.747,0.437
PU-AC0001-2025-11-03,AC0001,2025-11-03,22,7,0.459,0.589
PU-AC0001-2025-11-10,AC0001,2025-11-10,22,7,0.981,0.692
PU-AC0001-2025-11-17,AC0001,2025-11-17,24,7,0.479,0.779
PU-AC0001-2025-11-24,AC0001,2025-11-24,23,7,0.685,0.639
PU-AC0001-2025-12-01,AC0001,2025-12-01,20,7,0.646,0.476
PU-AC0001-2025-12-08,AC0001,2025-12-08,24,6,0.715,0.744
PU-AC0001-2025-12-15,AC0001,2025-12-15,22,6,0.719,0.699
PU-AC0001-2025-12-22,AC0001,2025-12-22,23,7,0.788,0.413
PU-AC0001-2025-12-29,AC0001,2025-12-29,26,8,0.611,0.723
PU-AC0001-2026-01-05,AC0001,2026-01-05,22,7,0.925,0.612
PU-AC0001-2026-01-12,AC0001,2026-01-12,22,7,0.696,0.702
PU-AC0001-2026-01-19,AC0001,2026-01-19,20,7,0.869,0.9
PU-AC0001-2026-01-26,AC0001,2026-01-26,25,6,0.65,0.674
PU-AC0001-2026-02-02,AC0001,2026-02-02,22,7,0.597,0.612
PU-AC0001-2026-02-09,AC0001,2026-02-09,22,8,0.653,0.836
PU-AC0001-2026-02-16,AC0001,2026-02-16,21,8,0.571,0.715
PU-AC0001-2026-02-23,AC0001,2026-02-23,23,7,0.782,0.702
PU-AC0001-2026-03-02,AC0001,2026-03-02,21,7,0.638,0.604
PU-AC0001-2026-03-09,AC0001,2026-03-09,23,7,0.66,0.888
PU-AC0001-2026-03-16,AC0001,2026-03-16,23,7,0.755,0.338
PU-AC0001-2026-03-23,AC0001,2026-03-23,24,7,0.575,0.43
PU-AC0001-2026-03-30,AC0001,2026-03-30,21,6,0.727,0.342
PU-AC0001-2026-04-06,AC0001,2026-04-06,24,7,0.83,0.782
PU-AC0001-2026-04-13,AC0001,2026-04-13,24,7,0.716,0.766
