qa_review_id,ticket_id,agent_id,account_id,review_date,communication,resolution,accuracy,process_adherence,documentation,ownership,critical_failure,overall_score,agent_controlled
QA00001,TK01900,A005,AC0045,2026-03-19,3.8,3.4,3.2,3.3,4.0,4.1,0,72.7,1
QA00002,TK00765,A037,AC0141,2025-11-17,3.8,3.6,4.0,4.0,4.5,4.5,0,81.5,1
QA00003,TK00274,A014,AC0020,2025-10-03,5.0,1.8,4.3,4.6,4.1,3.6,0,77.9,1
QA00004,TK03026,A007,AC0056,2026-07-05,4.2,4.2,4.0,3.6,4.2,4.7,0,82.8,1
QA00005,TK02977,A015,AC0049,2026-06-29,4.1,2.9,4.8,4.2,4.3,4.4,0,82.5,1
QA00006,TK02372,A028,AC0085,2026-05-04,3.5,4.4,5.0,3.8,3.9,3.7,0,81.0,0
QA00007,TK02549,A007,AC0091,2026-05-22,4.7,4.9,3.9,4.2,2.8,5.0,0,85.1,1
QA00008,TK01192,A034,AC0062,2026-01-01,5.0,4.0,3.7,4.4,5.0,3.7,0,85.9,1
QA00009,TK00488,A024,AC0065,2025-10-24,4.8,4.6,4.0,5.0,3.3,5.0,0,89.4,1
QA00010,TK02318,A017,AC0087,2026-04-28,3.9,4.3,3.5,5.0,3.9,5.0,0,85.2,1
QA00011,TK00210,A005,AC0008,2025-09-25,3.8,4.0,4.1,4.6,4.6,4.7,1,59.0,1
QA00012,TK00778,A025,AC0089,2025-11-19,4.4,2.6,4.7,4.2,4.9,3.4,0,80.8,0
QA00013,TK02073,A024,AC0061,2026-04-04,5.0,3.1,4.5,4.8,4.8,4.2,0,88.1,1
QA00014,TK00377,A023,AC0034,2025-10-14,4.7,4.9,3.5,3.8,3.2,3.1,0,77.5,1
QA00015,TK03155,A015,AC0087,2026-07-19,3.8,4.6,4.2,4.8,4.4,5.0,0,89.2,1
QA00016,TK01483,A029,AC0092,2026-02-04,3.4,3.6,3.9,3.8,4.4,4.3,0,77.8,1
QA00017,TK01475,A023,AC0057,2026-02-02,3.3,3.6,5.0,4.7,4.6,3.0,0,80.7,1
