revenue_id,month,segment,actual_revenue,target_revenue,forecast_revenue,variance_to_target
RV-202509-SMB,2025-09-01,SMB,45000,120000,116150,-75000
RV-202509-Mid-Market,2025-09-01,Mid-Market,100000,220000,227062,-120000
RV-202509-Enterprise,2025-09-01,Enterprise,0,320000,330990,-320000
RV-202510-SMB,2025-10-01,SMB,58000,120000,123839,-62000
RV-202510-Mid-Market,2025-10-01,Mid-Market,244000,271818,280384,-27818
RV-202510-Enterprise,2025-10-01,Enterprise,1032000,1081838,1075306,-49838
RV-202511-SMB,2025-11-01,SMB,295000,343854,351408,-48854
RV-202511-Mid-Market,2025-11-01,Mid-Market,507000,540121,532506,-33121
RV-202511-Enterprise,2025-11-01,Enterprise,811000,894409,908970,-83409
RV-202512-SMB,2025-12-01,SMB,233000,265658,273857,-32658
RV-202512-Mid-Market,2025-12-01,Mid-Market,752000,813062,792700,-61062
RV-202512-Enterprise,2025-12-01,Enterprise,1463000,1551451,1511831,-88451
RV-202601-SMB,2026-01-01,SMB,217000,241607,238583,-24607
RV-202601-Mid-Market,2026-01-01,Mid-Market,546000,579555,568652,-33555
RV-202601-Enterprise,2026-01-01,Enterprise,906000,1043905,1055447,-137905
RV-202602-SMB,2026-02-01,SMB,397000,440415,451591,-43415
RV-202602-Mid-Market,2026-02-01,Mid-Market,416000,478443,487671,-62443
RV-202602-Enterprise,2026-02-01,Enterprise,687000,727086,748946,-40086
RV-202603-SMB,2026-03-01,SMB,173000,179792,183920,-6792
RV-202603-Mid-Market,2026-03-01,Mid-Market,324000,339620,345305,-15620
RV-202603-Enterprise,2026-03-01,Enterprise,925000,1005133,1038507,-80133
RV-202604-SMB,2026-04-01,SMB,210000,243345,241226,-33345
RV-202604-Mid-Market,2026-04-01,Mid-Market,321000,331767,333971,-10767
RV-202604-Enterprise,2026-04-01,Enterprise,485000,513739,526649,-28739
RV-202605-SMB,2026-05-01,SMB,190000,201503,196073,-11503
RV-202605-Mid-Market,2026-05-01,Mid-Market,334000,378956,382226,-44956
RV-202605-Enterprise,2026-05-01,Enterprise,848000,981881,1016808,-133881
RV-202606-SMB,2026-06-01,SMB,139000,156113,155939,-17113
RV-202606-Mid-Market,2026-06-01,Mid-Market,359000,421892,437694,-62892
RV-202606-Enterprise,2026-06-01,Enterprise,1291000,1344938,1364197,-53938
RV-202607-SMB,2026-07-01,SMB,159000,182032,188939,-23032
RV-202607-Mid-Market,2026-07-01,Mid-Market,547000,573925,583214,-26925
RV-202607-Enterprise,2026-07-01,Enterprise,972000,1125123,1165963,-153123
RV-202608-SMB,2026-08-01,SMB,257000,269411,272430,-12411
RV-202608-Mid-Market,2026-08-01,Mid-Market,594000,699851,678619,-105851
RV-202608-Enterprise,2026-08-01,Enterprise,713000,838680,839963,-125680
