survey_id,account_id,survey_type,score,comment,survey_date,linked_interaction_id
SV00001,AC0113,CSAT,4,,2026-02-10,TK01538
SV00002,AC0117,CSAT,2,Still waiting,2026-01-30,TK01445
SV00003,AC0117,CSAT,3,Helpful but issue remains,2026-07-31,TK03268
SV00004,AC0061,CSAT,3,,2026-06-20,TK02877
SV00005,AC0105,CSAT,3,Helpful but issue remains,2025-10-06,TK00297
SV00006,AC0055,CSAT,2,Great help,2026-07-19,TK03158
SV00007,AC0061,CSAT,4,Still waiting,2026-02-19,TK01635
SV00008,AC0003,CSAT,4,Clear answer,2025-10-12,TK00341
SV00009,AC0053,CSAT,5,Great help,2026-06-28,TK02959
SV00010,AC0018,CSAT,4,Helpful but issue remains,2026-02-17,TK01618
SV00011,AC0076,CSAT,4,Great help,2025-11-10,TK00685
SV00012,AC0138,CSAT,4,Still waiting,2025-09-11,TK00088
SV00013,AC0104,CSAT,4,,2026-06-02,TK02663
SV00014,AC0057,CSAT,4,,2026-05-07,TK02396
SV00015,AC0018,CSAT,4,Slow resolution,2026-04-25,TK02281
SV00016,AC0103,CSAT,5,,2025-10-12,TK00347
SV00017,AC0119,CSAT,2,,2025-12-19,TK01076
SV00018,AC0023,CSAT,4,Helpful but issue remains,2025-10-19,TK00441
SV00019,AC0085,CSAT,4,Clear answer,2026-04-22,TK02235
SV00020,AC0088,CSAT,4,,2025-09-28,TK00245
SV00021,AC0060,CSAT,4,Great help,2026-03-10,TK01804
SV00022,AC0105,CSAT,4,,2026-03-30,TK02020
SV00023,AC0057,CSAT,5,,2026-07-27,TK03232
SV00024,AC0047,CSAT,4,Great help,2026-04-23,TK02246
SV00025,AC0004,CSAT,4,,2026-04-07,TK02099
SV00026,AC0008,CSAT,3,Clear answer,2026-06-09,TK02763
SV00027,AC0132,CSAT,5,Slow resolution,2025-12-23,TK01115
SV00028,AC0058,CSAT,5,Clear answer,2025-12-27,TK01147
SV00029,AC0088,CSAT,4,,2026-08-09,TK03352
SV00030,AC0085,CSAT,4,Still waiting,2026-01-24,TK01397
SV00031,AC0025,CSAT,3,,2026-04-15,TK02167
SV00032,AC0008,CSAT,4,Great help,2026-07-24,TK03202
SV00033,AC0142,CSAT,4,Clear answer,2025-10-13,TK00370
SV00034,AC0030,CSAT,2,,2026-05-05,TK02385
SV00035,AC0047,CSAT,4,Great help,2025-12-17,TK01052
SV00036,AC0065,CSAT,3,Great help,2026-04-24,TK02259
SV00037,AC0094,CSAT,4,Helpful but issue remains,2026-08-06,TK03313
SV00038,AC0064,CSAT,5,Still waiting,2025-10-17,TK00415
SV00039,AC0046,CSAT,3,Helpful but issue remains,2025-09-11,TK00096
SV00040,AC0030,CSAT,4,Slow resolution,2026-07-04,TK03017
SV00041,AC0015,CSAT,3,Clear answer,2026-07-10,TK03073
SV00042,AC0039,CSAT,4,Still waiting,2025-10-31,TK00565
SV00043,AC0015,CSAT,4,Clear answer,2026-06-16,TK02841
SV00044,AC0027,CSAT,4,,2026-05-28,TK02604
SV00045,AC0065,CSAT,5,Still waiting,2026-08-17,TK03417
SV00046,AC0010,CSAT,4,,2026-05-10,TK02435
SV00047,AC0116,CSAT,4,,2026-04-02,TK02054
SV00048,AC0132,CSAT,2,Slow resolution,2026-03-07,TK01770
SV00049,AC0086,CSAT,4,Slow resolution,2026-04-10,TK02124
SV00050,AC0100,CSAT,4,Still waiting,2026-08-10,TK03359
SV00051,AC0140,CSAT,4,,2026-04-13,TK02148
SV00052,AC0088,CSAT,5,Still waiting,2026-03-20,TK01915
SV00053,AC0130,CSAT,4,Clear answer,2026-06-03,TK02679
SV00054,AC0004,CSAT,4,Slow resolution,2026-05-09,TK02420
SV00055,AC0099,CSAT,4,Slow resolution,2026-05-18,TK02523
SV00056,AC0008,CSAT,4,,2026-01-10,TK01278
SV00057,AC0066,CSAT,5,Helpful but issue remains,2026-04-26,TK02284
SV00058,AC0018,CSAT,4,Slow resolution,2025-11-14,TK00737
SV00059,AC0024,CSAT,5,,2025-12-08,TK00965
SV00060,AC0018,CSAT,5,Still waiting,2026-02-01,TK01459
SV00061,AC0108,CSAT,2,Clear answer,2025-10-31,TK00566
SV00062,AC0013,CSAT,4,Still waiting,2026-03-31,TK02037
SV00063,AC0090,CSAT,4,Clear answer,2026-02-05,TK01496
SV00064,AC0095,CSAT,3,Still waiting,2025-10-27,TK00512
SV00065,AC0141,CSAT,3,Slow resolution,2026-06-27,TK02957
SV00066,AC0140,CSAT,5,,2025-09-25,TK00207
SV00067,AC0110,CSAT,4,Helpful but issue remains,2025-10-15,TK00401
