ticket_id,account_id,agent_id,created_at,resolved_at,contact_reason,resolution_status,first_response_minutes,escalation_required,escalation_reason,complaint_flag,repeat_contact,related_sop
TK00001,AC0126,A032,2025-09-01 12:00:00,2025-09-02 21:37:05.908735460,How-to,Resolved,9,0,None,0,0,SOP-12
TK00002,AC0037,A011,2025-09-01 12:00:00,2025-09-01 19:15:00.619886631,Integration,Resolved,25,0,None,0,0,SOP-12
TK00003,AC0105,A005,2025-09-01 18:00:00,2025-09-02 20:06:25.126555360,Bug,Resolved,35,0,None,0,0,None
TK00004,AC0150,A025,2025-09-01 17:00:00,,Billing,Waiting Internally,26,1,Operations,0,0,None
TK00005,AC0077,A013,2025-09-01 10:00:00,,Technical,Unresolved,16,0,None,0,0,SOP-18
TK00006,AC0004,A001,2025-09-01 13:00:00,2025-09-02 17:19:37.545120098,How-to,Resolved,19,0,None,0,0,SOP-12
TK00007,AC0087,A002,2025-09-01 17:00:00,2025-09-02 07:05:13.765892643,Technical,Resolved,51,0,None,0,0,None
TK00008,AC0137,A029,2025-09-01 10:00:00,2025-09-01 19:52:22.373677418,How-to,Resolved,80,0,None,0,0,None
TK00009,AC0021,A023,2025-09-01 17:00:00,2025-09-03 12:34:30.207237962,How-to,Resolved,68,0,None,0,0,SOP-07
TK00010,AC0140,A015,2025-09-01 15:00:00,2025-09-02 10:06:12.537096380,Account,Resolved,12,0,None,0,0,SOP-18
TK00011,AC0142,A020,2025-09-01 08:00:00,2025-09-02 03:00:24.282775721,Technical,Resolved,27,0,None,0,1,None
TK00012,AC0120,A011,2025-09-01 18:00:00,2025-09-02 15:22:19.120839408,How-to,Resolved,14,0,None,0,0,SOP-07
TK00013,AC0088,A021,2025-09-01 08:00:00,2025-09-02 13:03:43.388961788,Account,Resolved,90,0,None,0,0,SOP-07
TK00014,AC0117,A021,2025-09-01 12:00:00,2025-09-02 01:38:46.288325153,How-to,Resolved,49,0,None,0,0,SOP-07
TK00015,AC0059,A007,2025-09-01 16:00:00,2025-09-02 02:21:58.150495379,Integration,Resolved,103,0,None,0,0,SOP-12
TK00016,AC0088,A012,2025-09-01 10:00:00,2025-09-02 05:52:32.264287424,Technical,Resolved,51,0,None,0,0,SOP-12
TK00017,AC0137,A016,2025-09-01 19:00:00,,Integration,Partially Resolved,57,0,None,0,0,None
TK00018,AC0117,A006,2025-09-01 11:00:00,2025-09-01 17:04:51.591647997,Technical,Resolved,24,0,None,0,1,None
TK00019,AC0030,A029,2025-09-02 16:00:00,2025-09-03 03:14:30.597336076,Billing,Resolved,85,0,None,0,1,None
TK00020,AC0099,A032,2025-09-02 13:00:00,2025-09-03 06:24:17.190509160,How-to,Resolved,20,0,None,0,0,None
TK00021,AC0037,A037,2025-09-02 09:00:00,2025-09-03 09:18:49.814148970,Technical,Resolved,81,0,None,0,0,None
TK00022,AC0105,A024,2025-09-02 16:00:00,2025-09-03 05:34:02.625979885,Account,Resolved,14,0,None,0,0,None
TK00023,AC0099,A013,2025-09-02 16:00:00,2025-09-02 20:47:11.163871131,How-to,Resolved,29,0,None,0,1,SOP-18
TK00024,AC0116,A032,2025-09-02 14:00:00,,How-to,Waiting Internally,8,1,Billing,0,0,None
TK00025,AC0103,A032,2025-09-02 09:00:00,2025-09-02 18:59:32.318070297,Account,Resolved,39,0,None,0,0,SOP-18
TK00026,AC0006,A033,2025-09-02 19:00:00,2025-09-03 02:22:34.065688648,Bug,Resolved,48,0,None,0,0,SOP-12
TK00027,AC0138,A020,2025-09-02 10:00:00,2025-09-03 00:54:27.469267760,Technical,Resolved,14,0,None,0,0,None
TK00028,AC0118,A010,2025-09-03 15:00:00,,How-to,Escalated,53,1,Technical,0,0,None
TK00029,AC0019,A037,2025-09-03 19:00:00,2025-09-04 12:15:39.167467759,How-to,Resolved,5,0,None,0,0,SOP-12
TK00030,AC0099,A017,2025-09-03 11:00:00,2025-09-04 02:35:14.138759122,Integration,Resolved,89,0,None,0,0,None
TK00031,AC0057,A014,2025-09-04 13:00:00,,How-to,Unresolved,76,0,None,0,0,None
TK00032,AC0073,A029,2025-09-04 09:00:00,2025-09-04 23:10:21.350948244,How-to,Resolved,16,0,None,0,0,SOP-23
TK00033,AC0101,A019,2025-09-04 08:00:00,2025-09-04 22:52:25.818822243,Billing,Resolved,50,0,None,0,0,SOP-23
TK00034,AC0078,A034,2025-09-04 10:00:00,,Billing,Escalated,30,1,Product,0,0,SOP-18
TK00035,AC0062,A031,2025-09-04 15:00:00,2025-09-05 02:19:41.360382630,Integration,Resolved,14,0,None,0,0,None
TK00036,AC0082,A021,2025-09-04 10:00:00,2025-09-05 00:21:46.673805715,Account,Resolved,8,0,None,0,0,SOP-18
TK00037,AC0115,A017,2025-09-04 14:00:00,2025-09-05 06:27:39.882378471,Billing,Resolved,12,0,None,1,1,SOP-12
TK00038,AC0105,A037,2025-09-04 08:00:00,2025-09-04 17:20:06.887442936,Technical,Resolved,33,0,None,0,0,SOP-12
TK00039,AC0117,A025,2025-09-05 12:00:00,,How-to,Waiting Customer,14,0,None,0,1,SOP-23
TK00040,AC0047,A001,2025-09-05 10:00:00,2025-09-05 21:24:26.986351454,Technical,Resolved,35,0,None,0,0,SOP-18
TK00041,AC0056,A006,2025-09-05 18:00:00,2025-09-07 01:06:50.068822389,Account,Resolved,3,0,None,1,0,SOP-23
TK00042,AC0089,A005,2025-09-05 13:00:00,,Bug,Waiting Customer,75,0,None,0,0,None
TK00043,AC0008,A035,2025-09-05 11:00:00,,Technical,Escalated,18,1,Product,0,0,None
TK00044,AC0096,A030,2025-09-05 09:00:00,,How-to,Escalated,34,1,Operations,0,0,SOP-18
TK00045,AC0088,A004,2025-09-05 08:00:00,,Integration,Waiting Customer,44,0,None,0,1,None
