account_id,company_name,industry,region,plan,arr_eur,seats_purchased,active_users_30d,weekly_logins_30d,onboarding_completion_pct,feature_adoption_pct,support_tickets_90d,unresolved_tickets,csat,nps,days_since_csm_contact,account_age_months,days_to_renewal,expanded_before,churned
FD-1001,Customer 001,E-commerce,Nordics,Business,30400,38,20,59,99,72,3,1,4.6,33,25,6,127,No,No
FD-1002,Customer 002,Technology,CEE,Growth,13200,23,9,20,69,54,1,0,4.5,83,35,27,144,No,No
FD-1003,Customer 003,Travel,DACH,Business,33500,42,24,85,67,62,5,2,4.0,37,51,20,53,No,No
FD-1004,Customer 004,Fintech,Benelux,Business,26500,43,20,24,90,63,3,0,4.5,36,34,35,356,No,No
FD-1005,Customer 005,Healthcare,Nordics,Starter,4000,9,4,7,100,52,5,0,3.9,45,21,7,117,No,No
FD-1006,Customer 006,Media,Benelux,Enterprise,78600,140,90,156,83,79,3,0,4.0,39,19,5,215,Yes,No
FD-1007,Customer 007,Healthcare,Benelux,Business,23300,81,51,212,59,73,5,1,4.0,77,28,28,209,Yes,Yes
FD-1008,Customer 008,Healthcare,UK & Ireland,Business,32100,51,40,130,58,66,8,3,2.9,23,4,47,160,No,No
FD-1009,Customer 009,Media,UK & Ireland,Starter,3900,10,6,18,56,59,7,2,3.3,30,38,21,216,No,Yes
FD-1010,Customer 010,E-commerce,CEE,Growth,8000,23,19,19,50,86,2,2,3.3,45,65,21,209,Yes,No
FD-1011,Customer 011,Media,UK & Ireland,Growth,7700,27,15,24,84,63,5,0,4.6,82,50,12,33,No,No
FD-1012,Customer 012,Media,Nordics,Enterprise,80400,166,88,267,100,61,4,0,4.4,70,50,19,246,No,No
FD-1013,Customer 013,Professional Services,Benelux,Business,18900,59,42,93,82,70,6,0,4.5,87,91,20,46,No,No
FD-1014,Customer 014,Professional Services,Nordics,Business,22700,82,82,325,41,100,5,2,2.8,26,48,18,162,Yes,No
FD-1015,Customer 015,Travel,UK & Ireland,Growth,9400,21,6,21,79,39,4,0,3.4,32,29,22,136,No,Yes
FD-1016,Customer 016,Travel,UK & Ireland,Starter,3100,6,5,12,79,85,4,1,4.4,80,46,19,166,Yes,No
FD-1017,Customer 017,Travel,Benelux,Growth,9300,27,4,14,100,26,5,0,2.7,9,26,42,30,Yes,Yes
FD-1018,Customer 018,Technology,CEE,Starter,4600,11,8,33,56,73,1,0,4.7,61,86,22,258,Yes,No
FD-1019,Customer 019,Travel,Southern Europe,Business,18200,37,37,92,75,100,2,0,3.1,58,41,46,156,Yes,Yes
FD-1020,Customer 020,Travel,Nordics,Business,31900,58,41,125,100,79,5,0,4.7,96,37,38,26,Yes,No
FD-1021,Customer 021,Media,CEE,Business,32400,79,73,288,90,72,4,1,3.6,33,10,40,6,No,Yes
FD-1022,Customer 022,Fintech,Benelux,Growth,9700,29,13,23,92,56,5,0,4.8,53,60,36,199,No,No
FD-1023,Customer 023,Fintech,Nordics,Enterprise,51500,215,147,564,84,69,5,0,5.0,100,73,56,245,Yes,No
FD-1024,Customer 024,Fintech,Nordics,Enterprise,70200,157,92,121,88,62,5,0,3.0,36,24,17,202,No,No
FD-1025,Customer 025,Technology,CEE,Business,20000,68,32,98,96,51,5,0,4.6,65,5,59,265,No,No
FD-1026,Customer 026,Fintech,Benelux,Starter,3600,7,4,14,67,62,1,0,3.1,13,43,14,278,No,No
FD-1027,Customer 027,Professional Services,Southern Europe,Growth,13600,33,23,68,98,72,3,1,4.4,60,7,11,319,No,No
FD-1028,Customer 028,Professional Services,Benelux,Starter,5200,7,4,10,57,51,4,2,3.8,38,19,50,359,Yes,No
FD-1029,Customer 029,Technology,DACH,Starter,4600,10,6,18,88,50,4,0,4.3,36,10,54,324,Yes,No
FD-1030,Customer 030,Fintech,CEE,Business,23200,55,20,30,85,38,4,0,3.7,38,40,8,292,No,No
FD-1031,Customer 031,Technology,UK & Ireland,Business,29600,63,53,90,71,77,3,0,4.6,64,49,37,160,No,No
