lead_id,created_date,lead_source,industry,region,company_size,rep_id,status,qualified_date,demo_date,opportunity_date,closed_date,potential_arr_eur,loss_reason
VAI-00001,2025-05-06,LinkedIn,Professional Services,Benelux,51-200,AE05,Qualified,2025-05-09,,,,,
VAI-00002,2025-04-12,Partners,Travel,Benelux,501-1000,AE07,Demo Completed,2025-04-22,2025-05-01,,,,
VAI-00003,2025-06-02,Partners,Healthcare,UK & Ireland,1-50,AE01,Unqualified,,,,,,
VAI-00004,2025-03-01,Outbound,Professional Services,UK & Ireland,501-1000,AE07,Closed Won,2025-03-02,2025-03-05,2025-03-10,2025-04-14,67500.0,
VAI-00005,2025-03-24,Referral,Travel,UK & Ireland,1000+,AE06,Closed Won,2025-03-27,2025-03-31,2025-04-04,2025-05-23,57500.0,
VAI-00006,2025-10-18,Paid Search,E-commerce,Nordics,201-500,AE02,Qualified,2025-10-24,,,,,
VAI-00007,2025-11-25,Organic Search,Healthcare,Southern Europe,201-500,AE07,Demo Completed,2025-12-03,2025-12-06,,,,
VAI-00008,2025-03-31,Organic Search,Healthcare,Southern Europe,51-200,AE04,Unqualified,,,,,,
VAI-00009,2025-04-18,Organic Search,E-commerce,CEE,501-1000,AE02,Unqualified,,,,,,
VAI-00010,2025-07-31,Paid Search,E-commerce,UK & Ireland,1-50,AE02,Unqualified,,,,,,
VAI-00011,2025-04-29,Events,Travel,Nordics,201-500,AE08,Unqualified,,,,,,
VAI-00012,2025-03-16,LinkedIn,SaaS,Benelux,1000+,AE03,Unqualified,,,,,,
VAI-00013,2025-04-06,Outbound,Media,UK & Ireland,51-200,AE01,Demo Completed,2025-04-14,2025-04-21,,,,
VAI-00014,2025-06-01,Paid Search,Fintech,CEE,51-200,AE06,Unqualified,,,,,,
VAI-00015,2025-07-06,LinkedIn,Fintech,CEE,201-500,AE05,Qualified,2025-07-18,,,,,
VAI-00016,2025-11-20,Organic Search,Travel,Benelux,51-200,AE03,Qualified,2025-11-21,,,,,
VAI-00017,2025-11-01,Paid Search,SaaS,UK & Ireland,51-200,AE05,Unqualified,,,,,,
VAI-00018,2025-01-22,Paid Search,HR Tech,CEE,51-200,AE02,Closed Won,2025-01-26,2025-01-30,2025-02-04,2025-02-15,10500.0,
VAI-00019,2025-08-31,Events,Professional Services,Southern Europe,201-500,AE05,Unqualified,,,,,,
VAI-00020,2025-08-18,Outbound,SaaS,DACH,1000+,AE08,Unqualified,,,,,,
VAI-00021,2025-02-07,Organic Search,HR Tech,CEE,1-50,AE02,Unqualified,,,,,,
VAI-00022,2025-12-31,Events,HR Tech,UK & Ireland,1-50,AE07,Qualified,2026-01-02,,,,,
VAI-00023,2025-01-14,Paid Search,Media,Benelux,501-1000,AE07,Qualified,2025-01-16,,,,,
VAI-00024,2025-08-25,Paid Search,Professional Services,UK & Ireland,1-50,AE02,Qualified,2025-08-26,,,,,
VAI-00025,2025-09-28,Organic Search,Professional Services,DACH,51-200,AE06,Unqualified,,,,,,
VAI-00026,2025-01-22,Paid Search,E-commerce,Nordics,501-1000,AE04,Closed Lost,2025-01-24,2025-01-31,2025-02-04,2025-02-21,44500.0,Competitor
VAI-00027,2025-11-04,Outbound,Healthcare,DACH,51-200,AE06,Unqualified,,,,,,
VAI-00028,2025-08-14,Paid Search,E-commerce,CEE,501-1000,AE07,Unqualified,,,,,,
VAI-00029,2025-07-30,LinkedIn,Healthcare,CEE,201-500,AE01,Closed Won,2025-07-31,2025-08-01,2025-08-14,2025-08-27,20500.0,
VAI-00030,2025-06-02,LinkedIn,Fintech,Benelux,51-200,AE02,Unqualified,,,,,,
VAI-00031,2025-07-21,Referral,HR Tech,Benelux,201-500,AE08,Unqualified,,,,,,
VAI-00032,2025-01-10,Outbound,Professional Services,DACH,1-50,AE01,Qualified,2025-01-14,,,,,
VAI-00033,2025-04-06,Organic Search,Healthcare,Nordics,1-50,AE05,Unqualified,,,,,,
VAI-00034,2025-10-16,Paid Search,SaaS,Southern Europe,1-50,AE08,Qualified,2025-10-21,,,,,
VAI-00035,2025-01-22,Paid Search,Healthcare,UK & Ireland,1-50,AE06,Qualified,2025-01-23,,,,,
VAI-00036,2025-10-29,Paid Search,Travel,UK & Ireland,1000+,AE05,Qualified,2025-10-31,,,,,
VAI-00037,2025-07-14,Organic Search,Professional Services,UK & Ireland,201-500,AE08,Unqualified,,,,,,
VAI-00038,2025-10-05,Events,Fintech,Nordics,201-500,AE06,Closed Lost,2025-10-10,2025-10-12,2025-10-23,2025-12-20,23000.0,Price
VAI-00039,2025-01-22,Paid Search,Fintech,Nordics,1-50,AE07,Unqualified,,,,,,
VAI-00040,2025-04-14,Outbound,Fintech,Southern Europe,201-500,AE06,Closed Won,2025-04-18,2025-04-26,2025-05-07,2025-05-16,39000.0,
